"siteId","nctId","title","therapeuticArea","phase","overallStatus","sponsor","sponsorClass","facility","siteStatus","city","state","zip","country","latitude","longitude","contactCount","emailContactCount","phoneContactCount"
"NCT07321886-SITE-2","NCT07321886","A Study of Eloralintide (LY3841136) in Participants With Obesity, or Overweight Without Type 2 Diabetes","Endocrinology / Metabolic","Phase 3","RECRUITING","Eli Lilly and Company","Industry","Gauhati Medical College and Hospital","NOT_YET_RECRUITING","Guwahati","","781032","India","26.1844","91.7458","2","0","1"
"NCT07321886-SITE-3","NCT07321886","A Study of Eloralintide (LY3841136) in Participants With Obesity, or Overweight Without Type 2 Diabetes","Endocrinology / Metabolic","Phase 3","RECRUITING","Eli Lilly and Company","Industry","Care Hospitals Hyderabad- Banjara Hills","NOT_YET_RECRUITING","Hyderabad","","500034","India","17.38405","78.45636","2","0","1"
"NCT07321886-SITE-4","NCT07321886","A Study of Eloralintide (LY3841136) in Participants With Obesity, or Overweight Without Type 2 Diabetes","Endocrinology / Metabolic","Phase 3","RECRUITING","Eli Lilly and Company","Industry","Mandya Institute Of Medical Sciences","NOT_YET_RECRUITING","Mandya","","571401","India","12.5223","76.89746","1","0","0"
"NCT07321886-SITE-5","NCT07321886","A Study of Eloralintide (LY3841136) in Participants With Obesity, or Overweight Without Type 2 Diabetes","Endocrinology / Metabolic","Phase 3","RECRUITING","Eli Lilly and Company","Industry","Topiwala National Medical College & B. Y. L. Nair Charitable Hospital","NOT_YET_RECRUITING","Mumbai","","400008","India","19.07283","72.88261","2","0","1"
"NCT07321886-SITE-6","NCT07321886","A Study of Eloralintide (LY3841136) in Participants With Obesity, or Overweight Without Type 2 Diabetes","Endocrinology / Metabolic","Phase 3","RECRUITING","Eli Lilly and Company","Industry","Mysore Medical College","NOT_YET_RECRUITING","Mysore","","570001","India","12.29791","76.63925","2","0","1"
"NCT07321886-SITE-7","NCT07321886","A Study of Eloralintide (LY3841136) in Participants With Obesity, or Overweight Without Type 2 Diabetes","Endocrinology / Metabolic","Phase 3","RECRUITING","Eli Lilly and Company","Industry","All India Institute of Medical Sciences (AIIMS) - Nagpur","NOT_YET_RECRUITING","Nagpur","","441108","India","21.14631","79.08491","2","0","1"
"NCT07321886-SITE-8","NCT07321886","A Study of Eloralintide (LY3841136) in Participants With Obesity, or Overweight Without Type 2 Diabetes","Endocrinology / Metabolic","Phase 3","RECRUITING","Eli Lilly and Company","Industry","Supe Heart & Diabetes Hospital and Research Centre","NOT_YET_RECRUITING","Nashik","","422002","India","19.99727","73.79096","1","0","0"
"NCT07321886-SITE-9","NCT07321886","A Study of Eloralintide (LY3841136) in Participants With Obesity, or Overweight Without Type 2 Diabetes","Endocrinology / Metabolic","Phase 3","RECRUITING","Eli Lilly and Company","Industry","Lifepoint Multispeciality Hospital","NOT_YET_RECRUITING","Pune","","411057","India","18.51957","73.85535","2","0","1"
"NCT07321886-SITE-10","NCT07321886","A Study of Eloralintide (LY3841136) in Participants With Obesity, or Overweight Without Type 2 Diabetes","Endocrinology / Metabolic","Phase 3","RECRUITING","Eli Lilly and Company","Industry","Prabhu Diabetes Multi-Speciality Centre","NOT_YET_RECRUITING","Trichy","","620001","India","10.80289","78.69875","1","0","0"
"NCT07307248-SITE-1","NCT07307248","To Evaluate Early (2-Week) vs. Standard (4-Week) Metal Stent Removal Following Endoscopic Ultrasound Guided WON Drainage","Other / Unclassified","Not Applicable","RECRUITING","Asian Institute of Gastroenterology, India","Academic / Hospital / Other","Asian Institute of Gastroenterology","RECRUITING","Hyderabad","Telangana","500082","India","17.38405","78.45636","2","2","2"
"NCT07306533-SITE-1","NCT07306533","Effect of Menstrual Phase on the Anesthetic Efficacy","Anesthesiology / Pain","Not Applicable","RECRUITING","Jamia Millia Islamia","Academic / Hospital / Other","Faculty of Dentistry, JMI","RECRUITING","New Delhi","Delhi(दिल्ली)","110025","India","28.62137","77.2148","3","2","1"
"NCT07304596-SITE-1","NCT07304596","Responsiveness of Hindi Version of Oral Health Impact Profile for Periodontitis (OHIP-P-HIN)","Musculoskeletal / Rheumatology","Not Applicable","RECRUITING","Postgraduate Institute of Dental Sciences Rohtak","Academic / Hospital / Other","PGIDS Rohtak","RECRUITING","Rohtak","Haryana","124001","India","28.89447","76.58917","1","1","1"
"NCT07303491-SITE-1","NCT07303491","Validation of Hindi Version Oral Health Impact Profile for Periodontitis","Musculoskeletal / Rheumatology","Not Provided","RECRUITING","Postgraduate Institute of Dental Sciences Rohtak","Academic / Hospital / Other","PGIDS Rohtak","RECRUITING","Rohtak","Haryana","124001","India","28.89447","76.58917","3","1","1"
"NCT07302438-SITE-1","NCT07302438","Comparative Evaluation of Calcium Silicate-doped Treated Dentin Matrix and Mineral Trioxide Aggregate as Miniature Pulpotomy Biomaterials in Deep Carious Lesions","Other / Unclassified","Not Applicable","NOT_YET_RECRUITING","All India Institute of Medical Sciences","Academic / Hospital / Other","AIIMS Nagpur","","Nagpur","Maharashtra","441108","India","21.14631","79.08491","1","1","1"
"NCT07302438-SITE-2","NCT07302438","Comparative Evaluation of Calcium Silicate-doped Treated Dentin Matrix and Mineral Trioxide Aggregate as Miniature Pulpotomy Biomaterials in Deep Carious Lesions","Other / Unclassified","Not Applicable","NOT_YET_RECRUITING","All India Institute of Medical Sciences","Academic / Hospital / Other","AIIMS Nagpur","","Nagpur","Maharashtra","441108","India","21.14631","79.08491","1","1","1"
"NCT07300124-SITE-1","NCT07300124","Outcome of Direct Pulp Capping and Partial Pulpotomy in Reversible Pulpitis","Other / Unclassified","Not Applicable","NOT_YET_RECRUITING","Postgraduate Institute of Dental Sciences Rohtak","Academic / Hospital / Other","PGIDS Rohtak","","Rohtak","Haryana","124001","India","28.89447","76.58917","2","2","2"
"NCT07299110-SITE-1","NCT07299110","Effect of Whey Protein Versus Egg Albumen Protein Challenge on Blood Ammonia Level in Patients of Decompensated Ethanol Related Cirrhosis.","Gastroenterology / Hepatology","Not Applicable","RECRUITING","Institute of Liver and Biliary Sciences, India","Academic / Hospital / Other","Institiute of liver and biliary sciences","RECRUITING","New Delhi","","110070","India","28.62137","77.2148","1","1","1"
"NCT07297069-SITE-1","NCT07297069","Combination Therapy With Infliximab and Tofacitinib for Acute Severe Ulcerative Colitis - CINTO Trial","Gastroenterology / Hepatology","Phase 2","NOT_YET_RECRUITING","Asian Institute of Gastroenterology, India","Academic / Hospital / Other","Asian Institute of Gastroenterology","","Hyderabad","Telangana","500082","India","17.38405","78.45636","2","2","2"
"NCT07291037-SITE-1","NCT07291037","Phase III Study of Datopotamab Deruxtecan Versus Docetaxel in Previously Treated TROP2-positive Advanced or Metastatic Non-squamous NSCLC Without Actionable Genomic Alterations","Oncology","Phase 3","RECRUITING","AstraZeneca","Industry","Research Site","RECRUITING","Bangalore","","560027","India","12.97194","77.59369","0","0","0"
"NCT07291037-SITE-2","NCT07291037","Phase III Study of Datopotamab Deruxtecan Versus Docetaxel in Previously Treated TROP2-positive Advanced or Metastatic Non-squamous NSCLC Without Actionable Genomic Alterations","Oncology","Phase 3","RECRUITING","AstraZeneca","Industry","Research Site","RECRUITING","Kolkata","","700016","India","22.56263","88.36304","0","0","0"
"NCT07291037-SITE-3","NCT07291037","Phase III Study of Datopotamab Deruxtecan Versus Docetaxel in Previously Treated TROP2-positive Advanced or Metastatic Non-squamous NSCLC Without Actionable Genomic Alterations","Oncology","Phase 3","RECRUITING","AstraZeneca","Industry","Research Site","RECRUITING","Mumbai","","400012","India","19.07283","72.88261","0","0","0"
"NCT07291037-SITE-4","NCT07291037","Phase III Study of Datopotamab Deruxtecan Versus Docetaxel in Previously Treated TROP2-positive Advanced or Metastatic Non-squamous NSCLC Without Actionable Genomic Alterations","Oncology","Phase 3","RECRUITING","AstraZeneca","Industry","Research Site","RECRUITING","Nashik","","422011","India","19.99727","73.79096","0","0","0"
"NCT07291037-SITE-5","NCT07291037","Phase III Study of Datopotamab Deruxtecan Versus Docetaxel in Previously Treated TROP2-positive Advanced or Metastatic Non-squamous NSCLC Without Actionable Genomic Alterations","Oncology","Phase 3","RECRUITING","AstraZeneca","Industry","Research Site","RECRUITING","New Delhi","","11029","India","28.62137","77.2148","0","0","0"
"NCT07290972-SITE-1","NCT07290972","Compliance to Cervical Cancer Chemoradiation Guidelines: A Multicentric Implementation Audit and Resource Assessment Initiative of National Cancer Grid of India","Oncology","Not Provided","RECRUITING","Tata Memorial Hospital","Government / Public sector","Tata Memorial Hospital","RECRUITING","Mumbai","Maharashtra","400012","India","19.07283","72.88261","1","1","1"
"NCT07290972-SITE-2","NCT07290972","Compliance to Cervical Cancer Chemoradiation Guidelines: A Multicentric Implementation Audit and Resource Assessment Initiative of National Cancer Grid of India","Oncology","Not Provided","RECRUITING","Tata Memorial Hospital","Government / Public sector","Tata Memorial Hospital","RECRUITING","Mumbai","Maharashtra","400012","India","19.07283","72.88261","1","1","1"
"NCT07286643-SITE-1","NCT07286643","Echocardiography-guided Cirrhosis and Liver Failure-Intensive Care Protocol Sepsis","Infectious Disease","Not Applicable","RECRUITING","Post Graduate Institute of Medical Education and Research, Chandigarh","Academic / Hospital / Other","PGIMER Chandigarh","RECRUITING","Chandigarh","","160012","India","30.73629","76.7884","0","0","0"
"NCT07286175-SITE-1","NCT07286175","A Study of Brenipatide in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1)","Mental Health / Cognitive Health","Phase 2","RECRUITING","Eli Lilly and Company","Industry","Galaxy Superspeciality Hospital","NOT_YET_RECRUITING","Aurangabad","","431001","India","19.87757","75.34226","1","0","0"
"NCT07286175-SITE-2","NCT07286175","A Study of Brenipatide in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1)","Mental Health / Cognitive Health","Phase 2","RECRUITING","Eli Lilly and Company","Industry","Belagavi Institute of Medical Sciences - Belagavi","NOT_YET_RECRUITING","Belgavi","","590019","India",,,"1","0","0"
"NCT07286175-SITE-3","NCT07286175","A Study of Brenipatide in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1)","Mental Health / Cognitive Health","Phase 2","RECRUITING","Eli Lilly and Company","Industry","All India Institute of Medical Sciences (AIIMS) - Bhopal","NOT_YET_RECRUITING","Bhopal","","462024","India","23.25469","77.40289","1","0","0"
"NCT07286175-SITE-4","NCT07286175","A Study of Brenipatide in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1)","Mental Health / Cognitive Health","Phase 2","RECRUITING","Eli Lilly and Company","Industry","Society for Psychiatric Update and Research","NOT_YET_RECRUITING","Chhatrapati Sambhajinagar","","431005","India",,,"2","0","1"
"NCT07286175-SITE-5","NCT07286175","A Study of Brenipatide in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1)","Mental Health / Cognitive Health","Phase 2","RECRUITING","Eli Lilly and Company","Industry","Graphic Era Institute of Medical Sciences and Hospital","NOT_YET_RECRUITING","Dehradun","","248008","India","30.32443","78.03392","1","0","0"
"NCT07286175-SITE-6","NCT07286175","A Study of Brenipatide in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1)","Mental Health / Cognitive Health","Phase 2","RECRUITING","Eli Lilly and Company","Industry","Dharwad Institute Of Mental Health And Neurosciences","NOT_YET_RECRUITING","Dharwad","","580008","India","15.46005","75.00778","1","0","0"
"NCT07286175-SITE-7","NCT07286175","A Study of Brenipatide in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1)","Mental Health / Cognitive Health","Phase 2","RECRUITING","Eli Lilly and Company","Industry","Dr. Ram Manohar Lohia Institute of Medical Sciences","NOT_YET_RECRUITING","Lucknow","","226010","India","26.83928","80.92313","1","0","0"
"NCT07286175-SITE-8","NCT07286175","A Study of Brenipatide in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1)","Mental Health / Cognitive Health","Phase 2","RECRUITING","Eli Lilly and Company","Industry","Career Institute of Medical Sciences and Hospital - Lucknow","NOT_YET_RECRUITING","Lucknow","","226020","India","26.83928","80.92313","1","0","0"
"NCT07286175-SITE-9","NCT07286175","A Study of Brenipatide in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1)","Mental Health / Cognitive Health","Phase 2","RECRUITING","Eli Lilly and Company","Industry","Mysore Medical College","NOT_YET_RECRUITING","Mysore","","570001","India","12.29791","76.63925","2","0","1"
"NCT07286175-SITE-10","NCT07286175","A Study of Brenipatide in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1)","Mental Health / Cognitive Health","Phase 2","RECRUITING","Eli Lilly and Company","Industry","Assured Care Plus Hospital","NOT_YET_RECRUITING","Nashik","","422101","India","19.99727","73.79096","1","0","0"
"NCT07286175-SITE-11","NCT07286175","A Study of Brenipatide in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1)","Mental Health / Cognitive Health","Phase 2","RECRUITING","Eli Lilly and Company","Industry","Lifepoint Multispeciality Hospital","NOT_YET_RECRUITING","Pune","","411057","India","18.51957","73.85535","1","0","0"
